Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
11.165,1.36180474,-4.24753998,-135.71399625,-1.86871169,0.96835609,-0.13598696,12.48017825,-8.38700106,-1.34034107,-66.66497058,5.31782017,-18.42495938,0,15.88906649,-2.06334881,-5.60057703,-21.97066769,9.49011551,1.81142419,0,0,0,0
11.17,1.3298865,-4.14368509,-135.95199113,-1.87071064,0.96906494,-0.13304911,13.10132486,-8.20052445,-1.55433234,-66.82510016,5.8382762,-18.14939187,0,15.61139442,-2.14327207,-5.79672345,-21.84128501,9.66925883,1.78169326,0,0,0,0
11.175,1.29674589,-4.04514684,-136.19951177,-1.87279723,0.96979013,-0.13000268,13.72780613,-8.01345426,-1.78613961,-66.9640736,6.3823786,-17.82436036,0,15.31476536,-2.22045346,-6.01831122,-21.7065352,9.85564332,1.76387111,0,0,0,0
11.18,1.26791636,-3.95673605,-136.45005246,-1.87495025,0.97051842,-0.12687229,14.35426213,-7.8365756,-2.04051235,-67.07688112,6.95606355,-17.44848861,0,15.00277404,-2.285866,-6.26090476,-21.56544585,10.03933582,1.75901631,0,0,0,0
11.185,1.23268987,-3.86395467,-136.71775572,-1.87716343,0.97126234,-0.12369999,14.98136363,-7.64334167,-2.29850969,-67.1500116,7.51205178,-17.01077006,0,14.67075279,-2.35618403,-6.50599964,-21.40359608,10.23003463,1.73690826,0,0,0,0
11.19,1.20181445,-3.78190152,-136.9880094,-1.8794164,0.97199899,-0.1204873,15.59919926,-7.46217283,-2.57549406,-67.18460173,8.0874979,-16.51567163,0,14.32494844,-2.41264297,-6.76488019,-21.23254851,10.41534654,1.71321866,0,0,0,0
11.195,1.17253786,-3.70733359,-137.26491656,-1.88170941,0.9727275,-0.11726701,16.20583708,-7.28689512,-2.8675948,-67.17371833,8.66121463,-15.95575481,0,13.9659405,-2.46046303,-7.03354078,-21.05090085,10.59750049,1.68177514,0,0,0,0
11.2,1.14506132,-3.64588804,-137.54603468,-1.88402525,0.97344455,-0.114037,16.79347727,-7.12438669,-3.17454727,-67.11432205,9.24856013,-15.33880006,0,13.59045979,-2.49415924,-7.31536227,-20.85732731,10.77115651,1.64488413,0,0,0,0
11.205,1.1196583,-3.58085544,-137.83482445,-1.88635878,0.97414636,-0.11082502,17.37436574,-6.96038756,-3.49409192,-66.99972453,9.80483509,-14.66083938,0,13.20944678,-2.52505036,-7.59335305,-20.64728636,10.94823849,1.5948765,0,0,0,0
11.21,1.09632857,-3.52645054,-138.12767482,-1.88870828,0.97482739,-0.10763335,17.93538173,-6.80724239,-3.82738938,-66.83171132,10.3582002,-13.93661085,0,12.81649715,-2.54348444,-7.87774127,-20.42653937,11.11763358,1.53624129,0,0,0,0
11.215,1.07575607,-3.47827732,-138.42446752,-1.89106261,0.97548318,-0.10446679,18.47934559,-6.66468241,-4.17680045,-66.60764238,10.89896798,-13.16649528,0,12.41680516,-2.55172099,-8.16681282,-20.19615667,11.28334179,1.4674504,0,0,0,0
11.22,1.05815472,-3.43934532,-138.72564359,-1.89342649,0.97611398,-0.10133034,19.0026742,-6.53404869,-4.5397767,-66.32601874,11.43083696,-12.35975604,0,12.00771539,-2.5473998,-8.45988195,-19.95436454,11.44092282,1.38931542,0,0,0,0
11.225,1.04246714,-3.40564085,-139.03189334,-1.89579446,0.97671537,-0.09823149,19.50824879,-6.4117444,-4.9170119,-65.98734363,11.9456633,-11.5242365,0,11.59318996,-2.53427616,-8.75433033,-19.70379795,11.59302118,1.29954176,0,0,0,0
11.23,1.03180005,-3.37377075,-139.33924666,-1.89815589,0.9772779,-0.0951624,19.99964025,-6.30086539,-5.31364564,-65.590827,12.43338689,-10.67016819,0,11.18114892,-2.51200652,-9.04773898,-19.44878756,11.749139,1.19991272,0,0,0,0
11.235,1.02382361,-3.35052548,-139.65208933,-1.90052092,0.97780724,-0.09213253,20.47196979,-6.2026438,-5.72428253,-65.14015373,12.90655105,-9.80151645,0,10.76174858,-2.47732322,-9.34081428,-19.1841202,11.89652892,1.0911278,0,0,0,0
11.24,1.01844481,-3.32853188,-139.96849376,-1.90288534,0.9782959,-0.08913889,20.92896081,-6.11175071,-6.15215616,-64.63359897,13.35416614,-8.93335823,0,10.34397547,-2.43605859,-9.63040295,-18.91621034,12.04365743,0.97007845,0,0,0,0
11.245,1.0164597,-3.30934362,-140.28872862,-1.90524759,0.97874522,-0.08618352,21.37031629,-6.0300991,-6.59705637,-64.07214095,13.77687914,-8.07207119,0,9.92860301,-2.38680225,-9.91690642,-18.6474373,12.19023016,0.83837816,0,0,0,0
11.25,1.01813833,-3.29302244,-140.61243388,-1.90761126,0.97915428,-0.08326161,21.79604344,-5.95689257,-7.05749514,-63.45737979,14.17437304,-7.22998672,0,9.51443814,-2.32879047,-10.19842474,-18.37549324,12.33445826,0.69598615,0,0,0,0
11.255,1.02242502,-3.28152884,-140.94078499,-1.909979,0.97952407,-0.08037745,22.20474939,-5.89251191,-7.53283578,-62.79161757,14.54834931,-6.41394942,0,9.09959539,-2.26138279,-10.47486164,-18.10064718,12.47392053,0.54172334,0,0,0,0
11.26,1.03034741,-3.26879534,-141.27207278,-1.9123539,0.97984869,-0.07752305,22.59953267,-5.83214901,-8.02429104,-62.07439746,14.89335459,-5.63467557,0,8.69251097,-2.18918954,-10.74597126,-17.83054059,12.61805277,0.3757135,0,0,0,0
11.265,1.04167958,-3.25975753,-141.60841576,-1.91473674,0.98013365,-0.07470262,22.97845718,-5.77829103,-8.52765894,-61.30826121,15.21581535,-4.89529325,0,8.28704036,-2.10824269,-11.01087454,-17.55991298,12.7592966,0.19889359,0,0,0,0
11.27,1.05601533,-3.24641305,-141.94865485,-1.91713146,0.9803723,-0.07191918,23.34537077,-5.72256968,-9.04406198,-60.49319094,15.51078472,-4.20352118,0,7.89241182,-2.02700353,-11.26971634,-17.2972275,12.90844736,0.01451785,0,0,0,0
11.275,1.07400461,-3.23644561,-142.29418938,-1.91954159,0.98057016,-0.06916898,23.69689044,-5.67039137,-9.56948447,-59.63332166,15.78475347,-3.56832147,0,7.50109324,-1.9379334,-11.52439901,-17.03680865,13.05500986,-0.17961053,0,0,0,0
11.28,1.09398598,-3.23112198,-142.6454682,-1.92196514,0.98072823,-0.06645032,24.03137776,-5.62321026,-10.10507275,-58.73152929,16.04168053,-2.98530633,0,7.11232515,-1.84097486,-11.77468484,-16.78181487,13.19852645,-0.38866174,0,0,0,0
11.285,1.11470495,-3.21162603,-142.99937061,-1.92441561,0.98083797,-0.06377367,24.35524172,-5.56050863,-10.65540686,-57.7816003,16.26357046,-2.46537097,0,6.7479658,-1.75835795,-12.03073903,-16.55452151,13.3644824,-0.60068409,0,0,0,0
11.29,1.14384964,-3.20345882,-143.36281949,-1.92688489,0.98091225,-0.06112377,24.66515975,-5.5049865,-11.19646265,-56.79531949,16.48425198,-2.00089442,0,6.37272543,-1.65390971,-12.2682343,-16.30412874,13.51733145,-0.80996981,0,0,0,0
11.295,1.17284581,-3.19078047,-143.73165096,-1.92937693,0.98094405,-0.05851528,24.96037802,-5.44104889,-11.74735998,-55.76934295,16.68030782,-1.60331459,0,6.01299782,-1.55512342,-12.51139484,-16.07696302,13.67764466,-1.03236476,0,0,0,0
11.3,1.20479788,-3.1779348,-144.10735745,-1.93189785,0.98093694,-0.05594408,25.24129292,-5.37073054,-12.29817704,-54.70618255,16.85903391,-1.26779654,0,5.66125809,-1.45467598,-12.75607226,-15.85987903,13.84069049,-1.25976605,0,0,0,0
11.305,1.23733886,-3.16203585,-144.49245288,-1.93443606,0.98089181,-0.05340953,25.50882465,-5.28999652,-12.8481426,-53.60807478,17.02011545,-0.99411499,0,5.31790378,-1.35608102,-13.00240001,-15.65246181,14.00684704,-1.48947495,0,0,0,0
11.31,1.27285842,-3.14480473,-144.88480685,-1.93700598,0.98080805,-0.05091739,25.76255232,-5.19947429,-13.39547307,-52.4762695,17.16012694,-0.7866408,0,4.98474113,-1.25811078,-13.25260875,-15.458258,14.17972663,-1.71810454,0,0,0,0
11.315,1.31109157,-3.12197006,-145.28659256,-1.93959998,0.98068376,-0.04846479,26.00584041,-5.09503811,-13.93988283,-51.31230796,17.27169483,-0.6467422,0,4.66696836,-1.16561157,-13.51584511,-15.28301909,14.36227366,-1.94346776,0,0,0,0
11.32,1.35195441,-3.09951746,-145.69698725,-1.94221804,0.98052177,-0.04605202,26.23575275,-4.98128072,-14.47748705,-50.12207372,17.36178616,-0.56625279,0,4.3579992,-1.07241296,-13.78879538,-15.11989689,14.5449909,-2.16615831,0,0,0,0
11.325,1.4192155,-3.07007752,-146.12379745,-1.94485707,0.98030036,-0.04368068,26.48050993,-4.85886955,-14.9884871,-48.90708742,17.44067585,-0.53202463,0,4.07674515,-0.96956589,-14.07698929,-14.95627102,14.7074991,-2.37476863,0,0,0,0
11.33,1.42308026,-3.06008736,-146.53450133,-1.94756421,0.98012712,-0.04131269,26.62382527,-4.71852578,-15.54277274,-47.65769095,17.47951943,-0.60540014,0,3.73194164,-0.88520671,-14.32180663,-14.80524654,14.92219803,-2.59536872,0,0,0,0
11.335,1.4560869,-3.04235446,-146.96554469,-1.95028071,0.97988518,-0.03899285,26.79005277,-4.57164425,-16.07048573,-46.39500794,17.4842281,-0.72883936,0,3.42756001,-0.79280198,-14.59983551,-14.67304502,15.1200247,-2.81869786,0,0,0,0
11.34,1.4889065,-3.02428307,-147.40239912,-1.95302737,0.9796141,-0.03670303,26.93928502,-4.41389354,-16.59634373,-45.11536356,17.4547155,-0.92357329,0,3.1289641,-0.70122158,-14.88215224,-14.55242508,15.3238241,-3.03562713,0,0,0,0
11.345,1.51949353,-3.00898786,-147.84439161,-1.95580829,0.97932144,-0.03443976,27.06746552,-4.24483314,-17.11596681,-43.82064003,17.39109743,-1.20547682,0,2.83048808,-0.60854072,-15.1693241,-14.44016345,15.52692201,-3.24532239,0,0,0,0
11.35,1.54836359,-2.99623864,-148.29151782,-1.95862227,0.97900674,-0.03220017,27.17614862,-4.06741184,-17.63510056,-42.51616816,17.28895086,-1.56448809,0,2.53402942,-0.5148647,-15.4638908,-14.33878427,15.73231734,-3.44972818,0,0,0,0
11.355,1.58751359,-2.99232541,-148.74908583,-1.96145,0.97865902,-0.02999108,27.28175619,-3.88884827,-18.13542761,-41.21297311,17.12962419,-2.04210912,0,2.24979923,-0.40946096,-15.79007578,-14.25176393,15.92398359,-3.63741661,0,0,0,0
